model,accuracy,precision,recall,f1_score,false_positives,false_negatives
Logistic Regression Clean,0.9786729857819905,1.0,0.9563342318059299,0.9776798015982364,0,81
Random Forest Clean,0.9818325434439179,0.9983258928571429,0.9644204851752022,0.9810803400054839,3,66
