text,real,ml_pred,wazuh_pred
Feb 17 17:14:04 ubuntu-victima sshd[3541]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48332 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:07:31 ubuntu-victima sshd[3358]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 56874 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:44:20 ubuntu-victima sshd[2647]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 16:56:06 ubuntu-victima sshd[3025]: Failed password for vboxuser from 192.168.1.50 port 37926 ssh2  vboxuser ,0,1,0
Feb 17 16:03:16 ubuntu-victima sshd[2148]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 33612 ssh2 [preauth]  root ,1,1,0
Feb 16 17:57:53 ubuntu-victima sshd[1861]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 38120 ssh2 [preauth]  root ,1,1,0
Feb 16 18:32:08 ubuntu-victima sshd[3130]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 40104 ssh2 [preauth]  root ,1,1,0
Feb 17 16:22:36 ubuntu-victima sshd[2469]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 38314 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:06:33 ubuntu-victima sshd[3336]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 49382 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:21:52 ubuntu-victima sshd[2863]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 40720 ssh2 [preauth]  root ,1,1,0
Feb 17 12:35:42 ubuntu-victima sshd[4148]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 53016 ssh2 [preauth]  root ,1,1,0
Feb 17 16:07:11 ubuntu-victima sshd[2277]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 36612 ssh2 [preauth]  root ,1,1,0
Feb 17 17:28:15 ubuntu-victima sshd[3964]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 47490 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:46:35 ubuntu-victima sshd[3539]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 34506 ssh2 [preauth]  root ,1,1,0
Feb 17 16:06:04 ubuntu-victima sshd[2247]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,1,1,0
Feb 17 11:15:19 ubuntu-victima sshd[2834]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 47784 ssh2 [preauth]  root ,1,1,0
Feb 17 17:16:08 ubuntu-victima sshd[3603]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 17:02:02 ubuntu-victima sshd[3194]: Failed password for vboxuser from 192.168.1.50 port 45548 ssh2  vboxuser ,1,1,0
Feb 17 17:20:19 ubuntu-victima sshd[3729]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 58156 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:53:40 ubuntu-victima sshd[2887]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
