system,accuracy,precision,recall,f1_score
Random Forest,0.9818325434439179,0.9983258928571429,0.9644204851752022,0.9810803400054839
Wazuh,0.8438651922064244,0.8051257253384912,0.8975741239892183,0.8488401733367321
