_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.protocol,_source.data.srcip,_source.data.id,_source.data.url,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp
wazuh-alerts-4.x-2026.03.03,7mMis5wBrbzKPwSZMiKV,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,GET,192.168.1.50,404,/about,1,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.1.50 - - [03/Mar/2026:09:57:58 +0000] ""GET /about HTTP/1.1"" 404 435 ""-"" ""curl/8.17.0""",log,"Mar 3, 2026 @ 10:57:57.395",/var/log/apache2/access.log,1772531877.1226388,"Mar 3, 2026 @ 10:57:57.395"
wazuh-alerts-4.x-2026.03.03,OWMis5wBrbzKPwSZkSOG,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,GET,192.168.1.50,404,/login,4,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.1.50 - - [03/Mar/2026:09:58:23 +0000] ""GET /login HTTP/1.1"" 404 435 ""-"" ""curl/8.17.0""",log,"Mar 3, 2026 @ 10:58:23.831",/var/log/apache2/access.log,1772531903.1227713,"Mar 3, 2026 @ 10:58:23.831"
wazuh-alerts-4.x-2026.03.03,72Mis5wBrbzKPwSZMiKV,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,GET,192.168.1.50,404,/login,2,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.1.50 - - [03/Mar/2026:09:57:58 +0000] ""GET /login HTTP/1.1"" 404 435 ""-"" ""curl/8.17.0""",log,"Mar 3, 2026 @ 10:57:57.435",/var/log/apache2/access.log,1772531877.1226829,"Mar 3, 2026 @ 10:57:57.435"
wazuh-alerts-4.x-2026.03.03,8GMis5wBrbzKPwSZMiKV,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,GET,192.168.1.50,404,/contact,3,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.1.50 - - [03/Mar/2026:09:57:58 +0000] ""GET /contact HTTP/1.1"" 404 435 ""-"" ""curl/8.17.0""",log,"Mar 3, 2026 @ 10:57:57.435",/var/log/apache2/access.log,1772531877.1227270,"Mar 3, 2026 @ 10:57:57.435"
